GRACZ: AxivitiPL WIOSKA:54:53:50 (555|430) K45, ATAKI NA WIOSKE: 0
GRACZ: PuszBeYbi WIOSKA:#2# (553|425) K45, ATAKI NA WIOSKE: 0
GRACZ: PuszBeYbi WIOSKA:#3# (551|418) K45, ATAKI NA WIOSKE: 0
GRACZ: Putinoscorbin WIOSKA:01. Pierwomajskij (544|430) K45, ATAKI NA WIOSKE: 0
GRACZ: Putinoscorbin WIOSKA:02. Komarowskij (546|429) K45, ATAKI NA WIOSKE: 0
GRACZ: Queen I Wêdkarz WIOSKA:Q-W Slavianer (547|424) K45, ATAKI NA WIOSKE: 0
GRACZ: Queen I Wêdkarz WIOSKA:Queen I Wêdkarz (547|429) K45, ATAKI NA WIOSKE: 0
GRACZ: Sackrau WIOSKA:Road to Win 001 (550|429) K45, ATAKI NA WIOSKE: 0
GRACZ: Sir Castro WIOSKA:001# PITBULL WEST COAST (545|438) K45, ATAKI NA WIOSKE: 0
GRACZ: Sir Castro WIOSKA:002# PITBULL WEST COAST (545|439) K45, ATAKI NA WIOSKE: 0
GRACZ: Sir Castro WIOSKA:003# PITBULL WEST COAST (546|433) K45, ATAKI NA WIOSKE: 0
GRACZ: Smerfastyczni Darmiarze WIOSKA:#01 Czarne Smerfy (547|436) K45, ATAKI NA WIOSKE: 0
GRACZ: Smerfastyczni Darmiarze WIOSKA:#02 Smerf Naczelnik (546|437) K45, ATAKI NA WIOSKE: 0
GRACZ: Str4EveR WIOSKA:174 - 001 (545|430) K45, ATAKI NA WIOSKE: 0
GRACZ: Str4EveR WIOSKA:174 - 002 (547|431) K45, ATAKI NA WIOSKE: 0
GRACZ: Suwalczanin WIOSKA:sbc (549|430) K45, ATAKI NA WIOSKE: 0
GRACZ: Suwalczanin WIOSKA:wbs (548|430) K45, ATAKI NA WIOSKE: 0
GRACZ: sylwek20 WIOSKA:Ojoj (553|434) K45, ATAKI NA WIOSKE: 0
GRACZ: sylwek20 WIOSKA:Wioska sylwek20 (553|433) K45, ATAKI NA WIOSKE: 0
GRACZ: Tojara x Terminator699 WIOSKA:Górnicza Dolina (547|430) K45, ATAKI NA WIOSKE: 0
GRACZ: Verdee WIOSKA:Puerto Rico (543|428) K45, ATAKI NA WIOSKE: 0
GRACZ: xdreepo WIOSKA:Ciê¿ko tu z wami (544|434) K45, ATAKI NA WIOSKE: 0
GRACZ: xdreepo WIOSKA:D¿o³ mi to do³ (543|434) K45, ATAKI NA WIOSKE: 0
